Region,Species,Year,Catch
Guanacaste,Pargo,2013,5043
Guanacaste,Pargo Seda,2013,82887
Golfo de Nicoya,Pargo,2013,9021
Golfo de Nicoya,Pargo Seda,2013,1021
Quepos,Pargo,2013,13465
Quepos,Pargo Seda,2013,43725
Golfito,Pargo,2013,1872
Golfito,Pargo Seda,2013,11344
Guanacaste,Pargo,2012,28920
Guanacaste,Pargo Seda,2012,281379
Golfo de Nicoya,Pargo,2012,8065
Golfo de Nicoya,Pargo Seda,2012,29
Quepos,Pargo,2012,17475
Quepos,Pargo Seda,2012,84214
Golfito,Pargo,2012,5283
Golfito,Pargo Seda,2012,3997
Guanacaste,Pargo,2011,18888
Guanacaste,Pargo Seda,2011,113483
Golfo de Nicoya,Pargo,2011,13743
Golfo de Nicoya,Pargo Seda,2011,6211
Quepos,Pargo,2011,16475
Quepos,Pargo Seda,2011,52684
Golfito,Pargo,2011,622
Golfito,Pargo Seda,2011,10459
Guanacaste,Pargo,2010,1260
Guanacaste,Pargo Seda,2010,89491
Golfo de Nicoya,Pargo,2010,8708
Golfo de Nicoya,Pargo Seda,2010,3595
Quepos,Pargo,2010,4637
Quepos,Pargo Seda,2010,37597
Golfito,Pargo,2010,499
Golfito,Pargo Seda,2010,13120
Guanacaste,Pargo,2009,911
Guanacaste,Pargo Seda,2009,101960
Golfo de Nicoya,Pargo,2009,11481
Golfo de Nicoya,Pargo Seda,2009,26
Quepos,Pargo,2009,12148
Quepos,Pargo Seda,2009,100105
Golfito,Pargo,2009,21
Golfito,Pargo Seda,2009,16386
Guanacaste,Pargo,2008,3507
Guanacaste,Pargo Seda,2008,67421
Golfo de Nicoya,Pargo,2008,9167
Golfo de Nicoya,Pargo Seda,2008,4917
Quepos,Pargo,2008,12663
Quepos,Pargo Seda,2008,58060
Golfito,Pargo,2008,159
Golfito,Pargo Seda,2008,11389
Guanacaste,Pargo Seda,2007,94463
Golfo de Nicoya,Pargo Seda,2007,5359
Quepos,Pargo Seda,2007,14393
Golfito,Pargo Seda,2007,22537
Guanacaste,Pargo Seda,2006,180282
Golfo de Nicoya,Pargo Seda,2006,3272
Quepos,Pargo Seda,2006,11421
Golfito,Pargo Seda,2006,14148
Guanacaste,Pargo Seda,2005,171684
Golfo de Nicoya,Pargo Seda,2005,808
Quepos,Pargo Seda,2005,6611
Golfito,Pargo Seda,2005,8999
Guanacaste,Pargo Seda,2004,212074
Golfo de Nicoya,Pargo Seda,2004,2637
Quepos,Pargo Seda,2004,2468
Golfito,Pargo Seda,2004,1288
Guanacaste,Pargo Seda,2003,286046
Golfo de Nicoya,Pargo Seda,2003,11580
Quepos,Pargo Seda,2003,5700
Golfito,Pargo Seda,2003,506
Guanacaste,Pargo Seda,2002,344300
Golfo de Nicoya,Pargo Seda,2002,13739
Quepos,Pargo Seda,2002,22578
Golfito,Pargo Seda,2002,1639
Guanacaste,Pargo Seda,2001,274837
Golfo de Nicoya,Pargo Seda,2001,3257
Quepos,Pargo Seda,2001,64043
Golfito,Pargo Seda,2001,4699
Guanacaste,Pargo Seda,2000,306400
Golfo de Nicoya,Pargo Seda,2000,2676
Quepos,Pargo Seda,2000,92602
Golfito,Pargo Seda,2000,15296
Guanacaste,Pargo Seda,1999,360247
Golfo de Nicoya,Pargo Seda,1999,61186
Quepos,Pargo Seda,1999,85157
Golfito,Pargo Seda,1999,19814
Guanacaste,Pargo Seda,1998,335749
Golfo de Nicoya,Pargo Seda,1998,50180
Quepos,Pargo Seda,1998,57985
Golfito,Pargo Seda,1998,34221
Guanacaste,Pargo Seda,1997,192736
Golfo de Nicoya,Pargo Seda,1997,2560
Quepos,Pargo Seda,1997,31472
Golfito,Pargo Seda,1997,17229
Guanacaste,Pargo Seda,1996,259086
Golfo de Nicoya,Pargo Seda,1996,6572
Quepos,Pargo Seda,1996,49602
Golfito,Pargo Seda,1996,36646
Guanacaste,Pargo Seda,1995,477974
Golfo de Nicoya,Pargo Seda,1995,5159
Quepos,Pargo Seda,1995,26235
Golfito,Pargo Seda,1995,40991
Guanacaste,Pargo Seda,1994,569279
Golfo de Nicoya,Pargo Seda,1994,3480
Quepos,Pargo Seda,1994,62761
Golfito,Pargo Seda,1994,28507
Guanacaste,Pargo Seda,1993,634463
Golfo de Nicoya,Pargo Seda,1993,1601
Quepos,Pargo Seda,1993,38193
Golfito,Pargo Seda,1993,26515
Guanacaste,Pargo Seda,1992,490567
Golfo de Nicoya,Pargo Seda,1992,1602
Quepos,Pargo Seda,1992,31618
Golfito,Pargo Seda,1992,22839
Guanacaste,Pargo Seda,1991,249368
Golfo de Nicoya,Pargo Seda,1991,6876
Quepos,Pargo Seda,1991,37980
Golfito,Pargo Seda,1991,15479
Guanacaste,Pargo Seda,1990,383612
Golfo de Nicoya,Pargo Seda,1990,7110
Quepos,Pargo Seda,1990,28509
Golfito,Pargo Seda,1990,6939
